Source Sentence,Reference Translation,Model Translation
we will take the negotiating process as an opportunity to further set out those things that as i have learned from other members are the necessary practical details of what socialists and greens have long demanded,vamos tomar o processo de negociacao como uma oportunidade de explanar melhor os aspectos que tal como me dizem outros deputados constituem os pormenores praticos necessarios daquilo que os socialistas e os verdes exigem ha muito,temos de ser um pouco mais importante e que o conselho e o conselho de ministros e um dos estadosmembros que se trata de um processo de paz que se pode ser feito
existing directives on the working environment are not working well principally because employers oppose them and because trade unions are too weak and often set minimum levels that tend to commit the social partners to agreements affording levels of protection which are far too low,as directivas existentes sobre as condicoes de trabalho nao estao a funcionar bem principalmente porque os empregadores se opoem a elas e porque os sindicatos sao demasiado fracos estabelecendo frequentemente niveis minimos que tendem a vincular os parceiros sociais a acordos que asseguram niveis de proteccao demasiado baixos,a directiva relativa aos estadosmembros a nivel europeu nao pode ser a fim de garantir que a ue nao se trata de uma maior parte dos recursos financeiros e a promocao do mercado interno e a necessidade de uma maior parte dos custos da saude
today we are also able together with commissioner patten to be delighted that the hierocracy in iran is to allow comprehensive inspections and to refrain from producing uranium for use in nuclear weapons,podemos congratularnos hoje juntamente com o senhor comissario patten por a hierocracia no irao ter autorizado a realizacao de extensas inspeccoes e ter indicado que ira suspender a producao de uranio destinado as armas nucleares,estamos a falar de um grupo de trabalho que nos e o senhor comissario que se refere a necessidade de uma maior importancia de que a europa e a sua vida e a sua vida a fim de que a europa
this could also lead on to other questions such as how to calculate the carbon footprint all of us leave through energy consumption,este problema pode levar a outras questoes como a forma de calcular a pegada de carbono que todos nos deixamos devido ao consumo de energia,isto significa que esta e a nossa opiniao e que a situacao dos paises candidatos a fim de que a europa se pode ser a sua propria
i would like to know why these issues have been railroaded through in such a fashion without proper democratic control and proper public debate,gostaria de saber por que e que estas materias foram introduzidas a pressa sem o necessario controlo democratico e o devido debate publico,gostaria de dizer que a questao de um acordo de trabalho e que a sua propria forma e a sua responsabilidade e a sua capacidade de controlo e a sua actividade
too often we do not take heed of our own criticism and we lack the tools to find out what has become of our indictments,esquecemos com demasiada frequencia as nossas proprias criticas e faltamnos os instrumentos para apurar o impacto das nossas censuras,nao podemos deixar de fazer mas que o nosso grupo e o seu trabalho e nao e o que e que nao se trata de um problema
the proposal does not aim to be a complete codification of all of the courts case law concerning equal treatment in the area of social security nor does it aim to introduce new law going beyond the existing case law,a proposta nao pretende ser uma codificacao exaustiva de toda a jurisprudencia do tribunal relativa a igualdade de tratamento no dominio da seguranca social nem visa introduzir nova legislacao que va alem da jurisprudencia existente,a proposta nao se pode ser um dos estadosmembros e que a comissao nao se pode ser a sua propria directiva relativa a proteccao dos direitos humanos e nao apenas os seus proprios estadosmembros
i would urge the commission to look into other funding options especially in the face of this crisis with regard to a proposal for a consumer levy,gostaria de pedir explicitamente a comissao que apure se existem tambem outras possibilidades de financiamento seguramente no quadro desta crise eventualmente no quadro de uma proposta para uma taxa de consumo,espero que a comissao europeia deve ser um dos estadosmembros a que se trata de um sistema de accao para a politica de coesao
clearly however this would have corresponding consequences for the budget consideration should be given to whether there are not other options in addition to the agrienvironmental schemes for utilising the appropriations saved through modulation and crosscompliance in ways which would not affect competition,no entanto e claro que esta atitude teria as respectivas consequencias a nivel orcamental sendo de reflectir se adicionalmente as medidas agroambientais nao existiriam outras opcoes para uma aplicacao neutra em termos de concorrencia das verbas economizadas na modulacao e na cross compliance,mas tambem e necessario que os estadosmembros nao se encontram em vigor em que se trata de um sistema de accao para a sua capacidade de modo a que se nao se trata de um sistema de accao para a sua capacidade de modo a
it is not enough to have good delegational powers good information requirements and to solve home host issues,nao basta dispor de poderes de delegacao suficientes de solidas exigencias de informacao e resolver questoes entre o pais de origem e o pais de acolhimento,nao e possivel que nao se trata de uma solucao para os seus proprios problemas e as suas proprias responsabilidades
in this we are guided by our principles of the rule of law,ao fazelo devemos nortearnos pelos principios do nosso estado de direito,por isso e que o que se trata de um sistema de paz
in our opinion a europe which builds its future with constancy continuity and responsibility is the best guarantee that the founding fathers blueprint is implemented faithfully that the endeavours of all those who have worked on it over the past years are at the basis of its success and that europe is built on solid foundations,acreditamos que uma europa que construa o seu futuro com firmeza continuidade e responsabilidade e a melhor garantia para o projecto dos pais fundadores para que esse projecto se realize tambem por forca do trabalho de todos quantos nele trabalharam nos ultimos cinquenta anos e se realize com bases concretas e solidas,a fim de que a europa e a sua propria europa e que a europa e a sua propria europa e que a sua propria forma a que se trata de um pais que se refere a sua capacidade de modo a que se trata
that means that if a country has not replied we do not just assume that the answer is no,significa isso que se um pais no respondeu no vamos logo assumir que a resposta e no,nao podemos deixar de que nao podemos deixar de ser feito e que nao podemos deixar de ser feito
secondly mrs mcnally and others pointed out the closer and clearer link between the environment and poverty,em segundo lugar a senhora deputada mcnally e outros chamaram a atencao para a ligacao mais estreita e mais clara que existe entre o ambiente e a pobreza,em primeiro lugar o relatorio do senhor deputado swoboda e a sua politica de saude e de uma politica de defesa e de uma solucao
in the light of these considerations we have abstained overall,a luz destas consideracoes abstivemonos em termos gerais,por isso e que o meu grupo de trabalho
i look to the rapporteurs and the commission to explain how it is possible to increase the european budget without increasing the tax burden on taxpayers except by reducing the national budgets,espero que os relatores e a comissao expliquem como e possivel aumentar o orcamento europeu sem aumentar o onus fiscal para os contribuintes senao por via da reducao dos orcamentos nacionais,espero que a comissao esta a comissao e a comissao a fim de se tornar o objectivo de uma maior parte dos direitos humanos e a sua actividade e a sua capacidade de modo a ser a nivel nacional
free movement the right to live in the place of ones choice and the right to work where one can all call for new european rules and the modernization of those that predate the single european act,a livre circulacao o direito de habitarmos onde quisermos e trabalharmos onde pudermos impoem novas regras europeias e a modernizacao das anteriores ao acto unico,a europa e a europa e a sua propria europa e que a sua propria forma a ser mais eficaz e que a europa e a sua propria forma a ser mais facil para que a europa nao se pode ser feito
i think that awarenessraising has a very important role to play in that respect,julgo que as campanhas de sensibilizacao tem um papel muito importante a desempenhar nesse contexto,considero que a questao da politica de coesao e um dos principais
our car manufacturers lead the world for environmental awareness technical standards and innovation,os nossos fabricantes de automoveis sao lideres mundiais no que respeita a consciencia ambiental normas tecnicas e inovacao,os nossos paises sao os custos da ue e a sua actividade e a sua vida
this means that in the coming weeks over a million people living in refugee camps in sudan will have no access to basic aid such as clean water food or medical care,isto significa que nas proximas semanas mais de um milhao de pessoas que vivem em campos de refugiados no sudao nao terao acesso a ajuda essencial como por exemplo agua limpa alimentos e cuidados medicos,isto significa que a situacao nao se aplica a sua capacidade de modo a que os paises candidatos a fim de garantir que a europa nao se pode ser a sua vida e a sua vida e a sua vida profissional
personally i must say that i would simply have rejected this uninspiring proposal by the commission but majority situations being what they are in the house i was unable to do so,pessoalmente devo dizer que teria gostado de rejeitar pura e simplesmente esta proposta pouco inspirada da comissao europeia mas sendo as maiorias o que sao neste parlamento nao consegui atingir esse objectivo,espero que nao se trata de um relatorio que nao e o conselho de ministros e nao se trata de um relatorio que nao se encontra em vigor
second question are the selective discounts of the democracy clause permissible,segunda questao sao admissiveis as derrogacoes selectivas a clausula relativa a democracia,a questao da primeira vez que a comissao e a sua politica
finally i should emphasise that if as i assume we all want this proposal to be adopted soon by the council so as to keep to the timetable called for by mrs thyssen involving entry into force on january i am unable to accept the amendments proposed,cumpreme finalmente salientar que se como presumo todos nos desejamos uma adopcao rapida desta proposta por parte do conselho para permitir o cumprimento dos prazos solicitados pela senhora deputada thyssen ou seja a entrada em vigor em de janeiro de nao posso aceitar as alteracoes sugeridas,por ultimo gostaria de agradecer ao senhor deputado schulz que nao se trata de um acordo interinstitucional que o parlamento europeu nao tenha sido aprovado por um lado a comissao europeia que se trata de um acordo interinstitucional que nao se encontra em vigor
first the agency s headquarters would be established in thessaloniki and a joint declaration would be drawn up listing the general service departments to be located there,em primeiro lugar a sede da agencia seria estabelecida em salonica e seria elaborada uma declaracao conjunta contendo a lista dos departamentos de servicos gerais que ai funcionariam,em primeiro lugar a comissao europeia e a comissao e a comissao e a necessidade de um sistema de accao para a politica de coesao
surveillance of budgetary positions and surveillance and coordination of economic policies,supervisao das situacoes orcamentais e supervisao e coordenacao das politicas economicas,a cooperacao entre a politica de lisboa e a sua capacidade de uma forma de uma solucao
overall the proposal falls short of our initial intentions but it does not however involve any obligation to harmonise family reunification requirements downwards and we see it as a first step on a path that we wish were faster but which we shall continue to tread with conviction and persistence,em suma a proposta fica aquem das nossas intencoes iniciais contudo nao engendra nenhuma obrigacao de nivelar por baixo as condicoes de reagrupamento familiar e nos concebemolas como uma primeira etapa de um caminho que desejavamos mais rapido mas que continuaremos a trilhar com conviccao e persistencia,a proposta de resolucao e nao se trata de um relatorio que nao e um pouco mais importante e que nao se trata de um sistema de accao para a qual nao e possivel para que os estadosmembros nao se trata de uma solucao que
we have not even mentioned the workers in these countries who risk their lives as a result of inadequate safety precautions,nem sequer nos referimos aos trabalhadores nesses paises que arriscam a vida em resultado da adopcao de medidas de seguranca inadequadas,nao podemos esquecer que os paises que se encontram em condicoes de producao de saude e de que os paises candidatos a fim de que a europa
i do not lack any ambition for what europe can be what i have to deal with is the reality of what we actually are,nao me falta de modo algum ambicao em termos do que a europa pode ser mas aquilo com que tenho de lidar e a realidade do que efectivamente somos,nao podemos deixar de dizer que o senhor comissario nao e o seu trabalho e que nao e o seu apoio
the banana market organisation applies equally to all fifteen member states,a organizacao comum do mercado da banana aplicase indistintamente a todos os estadosmembros,a directiva relativa aos direitos humanos e a sua propria forma a ser mais eficaz
i and my colleagues in the committee on regional development brought these matters up with mrs hubner we are disappointed that the commissions document before us today pays hardly any attention to how the commission intends to set out to achieve its objectives,com os meus colegas da comissao do desenvolvimento regional abordamos estes assuntos com a senhora comissaria hubner lamentamos agora que o documento da comissao nao se debruce minimamente sobre a forma como a comissao tenciona actuar para alcancar esses objectivos,por escrito a comissao e a comissao dos assuntos economicos e monetarios e da comissao dos assuntos internos que se refere a comissao dos assuntos juridicos que nao se encontra em vigor em que se refere a comissao nao se encontra em vigor
in addition russia s centralised power is oppressing a national minority,alem disso o poder central russo oprime uma minoria nacional,alem disso a uniao europeia e a sua propria forma a ser um pouco mais importante
the proposal to amend the original directive on this matter will ban the marketing of toys and childcare articles containing pvc which are designed to be placed in the mouths of children under the age of three,a proposta de alteracao da directiva original relativamente a esta questao vai proibir a comercializacao de brinquedos e artigos de puericultura que contenham pvc e que se destinem a entrar em contacto com a boca por criancas de idade inferior a tres anos,a proposta de directiva e a comissao e a comissao a fim de um sistema de accao de saude e de um estadomembro que se trata de um sistema de paz
i believe therefore that socalled enlargement fatigue is a fact and that people are questioning these constant movements towards enlargement towards new accessions,penso portanto que falar de lassidao face ao alargamento e um facto efectivamente as nossas populacoes interrogamse sobre esses movimentos permanentes para o alargamento para novas adesoes,penso que e importante que a questao de um acordo de trabalho e a sua politica e a sua opiniao e que a europa
today i acknowledge that on the question of the tsunami there remains a eur million gap but in the spirit of the cooperation and progress we were able to make back in july i am still optimistic that we should be able to close that gap in a relatively short period of time,reconheco hoje que no que se refere ao continua a existir um diferencial de milhoes de euros porem no espirito de cooperacao e progresso que conseguimos evidenciar em julho ultimo continuo optimista quanto a possibilidade de colmatarmos essa diferenca num espaco de tempo relativamente curto,por escrito votei a favor da resolucao de que a uniao europeia deve ser um pouco mais importante e nao e uma grande maioria dos objectivos que se trata de uma politica que nao se pode ser feito em relacao a este respeito a este
we know for example my area is supposedly the beneficiary of ericssons decision,sabemos por exemplo que a minha regiao e a que vai supostamente beneficiar com a decisao da ericsson,concordo com a questao da europa que se trata de um sistema de paz
we have to accept that a lot of work in the eu member states is not uniformly remunerated,temos de aceitar que muitas actividades nos estadosmembros da ue sao remuneradas de forma distinta,temos de ser um relatorio que nao se trata de um sistema de accao para a saude publica
solidarity is genuinely important for my group but it must be wellfounded and it must not be a oneway street,a solidariedade e realmente importante para o meu grupo mas deve ser bem fundamentada e nao uma via de sentido unico,a senhora deputada e a senhora deputada nao e uma questao que nao e uma questao que nao e uma solucao para o nosso objectivo
certainly the report s evaluation of the economic and trade regime under cotonou is based on a political view of development and northsouth relations,a avaliacao que o relatorio faz do regime economico e comercial ao abrigo de cotonu tem certamente por base uma visao politica das relacoes de desenvolvimento nortesul,e a proposta de resolucao sobre a proposta de seguranca e a seguranca e a seguranca e a necessidade de uma politica de defesa e nao se pode ser um pouco mais importante
this is my second task ensuring that in future we have enough children s films suitable for that age films that are positive and are both educational and imaginative,eis o segundo trabalho que tenho de fazer fazer com que no futuro disponhamos de bastantes filmes para as criancas que se adaptem as suas idades que sejam positivos e que contenham uma parte da alma infantil e uma parte de elementos educativos,e importante que a nossa opiniao e um problema que se refere a necessidade de um sistema de paz e de que a europa e a europa se nao se trata de um sistema de paz
this committee is now starting to scrutinise the legislation with a view to restoration of or compensation for property which was seized under communist rule,esta comissao esta presentemente a analisar a legislacao tendo em vista a devolucao de propriedades e o pagamento de indemnizacoes relativas as propriedades ocupadas durante o regime comunista,o relatorio e o conselho que se trata de um acordo de trabalho que se trata de um acordo de trabalho e que a comissao deve ser aplicada
although we in the european union possess no powers or means whereby we might in any way enforce the reversal of this decision we do expect north korea to resume dialogue with its partners china in particular which may in the medium or long term make a peaceful resolution of this conflict possible,embora nos na uniao europeia nao tenhamos poderes nem meios para de alguma forma obrigar este pais a voltar atras nesta sua decisao esperamos que a coreia do norte reate o dialogo com os seus parceiros nomeadamente a china e que a medio ou longo prazo seja possivel encontrar uma solucao pacifica para este conflito,no entanto nao se trata de uma politica de coesao o que se refere a sua capacidade de modo a que a uniao europeia nao se encontra em causa de um pais que nao se encontra a sua propria forma como a uniao europeia nao
it is important to establish the correct order of importance of these rights and to take account of the fact that human beings are more important than money,e importante estabelecer uma hierarquizacao correcta dos direitos em funcao da sua relevancia e ter em conta que os seres humanos sao mais importantes que o dinheiro,e importante que a politica de coesao e a seguranca e a necessidade de um dos estadosmembros e que a comissao nao pode ser feito
secondly we must also make the necessary organisational decisions,segundo devemos tambem tomar as necessarias decises a nivel organizacional,em primeiro lugar temos de ser um problema de uma solucao
this is why i voted for this report,foi por este motivo que votei a favor deste relatorio,por isso e importante que este assunto
thus we have a longterm objective that cannot be postponed,temos assim um objectivo a longo prazo que nao pode ser protelado,mas nao podemos deixar de ser um problema de um problema
madam president i would like to speak and to use this debate to talk about a fundamental issue the emergency they cannot cope alone,senhora presidente quero aproveitar este debate para falar de uma questao fundamental a situacao de emergencia e insistir num ponto sozinhos nao poderao fazer face a essa situacao,senhora presidente gostaria de dizer que nao e um debate muito importante e que nao e o seu papel e a sua propria
in this context i should like to mention the following three documents,neste contexto gostaria de referir os seguintes tres documentos,por escrito votei a favor de um relatorio
if one takes account of the events that took place in drc then to put in place a democratic and peaceful transition would constitute a strong sign of hope for the thousands of africans who are now fleeing their countries in order to make a dash for europes shores with the idea of thus escaping from the chaos and of ensuring their own survival,tendo em conta os acontecimentos ocorridos na rdc promover uma transicao democratica e pacifica constituiria um sinal forte de esperanca para os milhares de africanos que hoje fogem dos seus paises rumo as costas europeias com o objectivo de assim escapar ao caos e assegurar a sua propria sobrevivencia,se quisermos que a uniao europeia tem de ser um pouco mais de que a europa e a sua opiniao e que a situacao e a unica forma de que a situacao seja a unica forma de que a europa se pode ser possivel para
the nuclear industry is placing its highrisk installations right up against the borders of the eu,a industria nuclear coloca as suas centrais de risco junto das fronteiras da ue,a ue e a seguranca e a sua vida a fim de que a europa
it is a european subject and that is why i am sorry that you have dragged it down to the level of internal politics with your proposals,e um tema europeu e por isso lamento que o tenha reduzido a esfera da politica interna com os seus pedidos de alteracao,e importante que a senhora deputada theato e um pouco mais importante e que o senhor comissario a que se trata de um sistema de paz
how can we guarantee that natura will get the funds it needs,como podemos nos garantir que a rede natura obtera os fundos de que necessita,e por isso que a situacao nao se pode ser feito em relacao a pobreza
in particular would you agree that there is a need for a further stimulus the etuc has suggested of gdp aimed at a positive entry strategy into the labour market that would be aimed at protecting viable employment and creating new jobs in promoting intelligent work sharing,em particular concordaria que e necessario um estimulo suplementar a confederacao europeia dos sindicatos sugeriu do pib a favor de uma estrategia positiva para a entrada no mercado de trabalho centrada na proteccao dos empregos viaveis e na criacao de novos postos de trabalho atraves da promocao da partilha inteligente de tarefas,por escrito a comissao e a necessidade de um sistema de accao para a politica de coesao social e a necessidade de um sistema de accao para a saude publica e a seguranca e a seguranca alimentar a fim de que a uniao europeia deve
the irish government is claiming that you demanded that cut mr rehn,o governo irlandes afirma que se trata de uma exigencia europeia senhor comissario,o conselho europeu e o conselho de ministros
all credit to the independence and democracy group too in this case,reconhecase portanto tambem neste caso o merito do grupo independenciademocracia,e evidente que o nosso grupo de trabalho e a sua propria europa
in my view the total number of allowances allocated to the aviation sector should be set at community level by reference to mean emission levels arising from aviation at least for the years while the emissions limit should be set at a level of,considero que o numero total de licencas atribuidas ao sector da aviacao deve ser determinado a nivel comunitario por referencia as emissoes medias da aviacao pelo menos durante o periodo e que o limite de emissoes deve ser estabelecido ao nivel de,por escrito a que se trata de um sistema de accao social e a promocao do mercado interno e a promocao do mercado interno que se trata de um sistema de accao para a saude publica que se pode ser feito em que se nao
legal practice in the member states reflects the different national cultures and traditions in terms of what should be censored and how it should be punished,a jurisprudencia nos estadosmembros exprime diferentes culturas e tradicoes nacionais sobre o que deve ser censurado e a forma como deve ser punido,a directiva relativa aos servicos de saude e a sua capacidade de modo a ser um pouco mais de que a sua vida e a sua capacidade de forma a ser mais eficaz
i hope that the work i am doing on my subcommittee may give the european parliament the opportunity to become the operational and organisational heart of the euromed assembly in the future,espero que o trabalho que tenho vindo a desenvolver na minha subcomissao permita que o parlamento europeu se torne de futuro o centro operacional e organizacional da assembleia euromed,espero que o senhor deputado schulz e o conselho e o conselho de ministros e a comissao europeia se encontra em que se trata de um processo de paz
asylum and immigration,asilo e imigracao,a democracia e a seguranca
in this figure stood at million people,em esse numero ascendia a milhoes de pessoas,por escrito a sua parte e a sua propria politica
therefore we are not yet able to grant it discharge,por isso nao pudemos concederlhe a quitacao,mas nao podemos deixar de fazer
i also view positively the establishment of an interest rate to be applied where payment is late based on the european central banks reference rate plus,vejo tambem com bons olhos o estabelecimento da taxa de juro aplicavel com base na taxa de referencia do bce acrescida de em situacoes de atraso no pagamento,estou certo de que a questao de um sistema de accao para a politica de coesao e de um estadomembro que se refere a um sistema de accao para a sua propria politica
the deadline for tabling amendments is this morning at am and the vote will take place today at noon,o prazo para a entrega de alteracoes termina esta manha as h e a votacao tera lugar hoje as h,o relatorio e o relatorio que e o relatorio que esta a ser muito mais importante e que o relatorio
however the point is that first of all it was promised that the outward symbols of a european superstate would not be included in the treaty of lisbon which most member states have ratified and now suddenly they are going to be included and enshrined in the european parliaments rules of procedure,todavia a questao principal e que em primeiro lugar foi prometido que os simbolos exteriores de um superestado europeu nao seriam incluidos no tratado de lisboa que a maior parte dos estadosmembros ratificou e vao agora subitamente ser consagrados no regimento do parlamento europeu,mas tambem e que a comissao nao se pode ser objecto de um acordo de trabalho que se refere a sua posicao de directiva relativa a directiva relativa a directiva e a comissao nao se pode ser possivel para o seu objectivo de uma forma
to ensure that in particular passengers with sensory impairments are provided with information regarding delays as efficiently as possible we would call for information announcements to be made using both acoustic and visual systems,a fim de garantir em particular aos passageiros com incapacidades sensitivas toda a informacao possivel sobre eventuais atrasos solicitamos que se recorra a sistemas de informacao visuais e auditivos,por escrito a fim de que a ue deve ser a unica forma de que a uniao europeia deve ser um pouco mais de que a sua propria forma a ser mais eficaz e que a sua propria forma a ser mais eficaz
there are no other rules with which it is possible to organize such coexistence,nao existem quaisquer outras regras com ajuda das quais se possa organizar uma convivencia desta natureza,se nao se trata de uma solucao para o futuro
mention was just made as it was in the latest report of domestic violence and i should like to draw attention to youth violence and to the fact that it is on the rise,falouse agora muito no ultimo relatorio de violencia domestica e eu gostaria de chamar a atencao para a violencia juvenil e para o seu incremento,o meu grupo e o relatorio do conselho e o relatorio que e o seu trabalho e que a europa e a sua propria forma a ser mais eficaz e que nao se pode ser possivel
in that context the commission received earlier this year complaints submitted by the eu footwear industry containing convincing data indicating that the eu footwear industry is suffering from adverse effects caused by dumped prices of imports of footwear into the community,nesse contexto recebeu no inicio deste ano queixas apresentadas pela industria do calcado que incluiam dados fiaveis segundo os quais a referida industria na ue esta a ser vitima de efeitos adversos causados pelos precos de venda abaixo do preco de custo do calcado importado para a comunidade,no entanto o relatorio do conselho europeu de ministros da comissao e da comissao dos estadosmembros a nivel europeu de saude publica e a seguranca alimentar nao se pode ser a fim de garantir a criacao de um mercado interno
over the next two years romania will have to make real and sustained efforts in order to be truly ready for membership,nos proximos dois anos a romenia tera de desenvolver esforcos verdadeiros e sustentaveis se quer realmente estar pronta para a adesao,no que respeita a sua parte a sua parte do seu pais e o seu papel e o que se encontra a fim de o seu proprio pais
madam president may i be allowed to ask one or two supplementaries in doing so i must express keen disappointment with the commission statement about burma which i find less than satisfactory,senhora presidente gostaria de colocar uma ou duas questoes suplementares aproveitando o ensejo para manifestar a minha profunda decepcao em relacao a declaracao do senhor comissario sobre a birmania que considero abaixo de satisfatoria,senhora presidente senhor comissario gostaria de dizer que se trata de um debate que e um pouco mais importante e que o parlamento europeu tenha sido muito mais do que se refere a sua posicao
in budgetary terms we should point out that even though the farmers of the uk this matter was raised yesterday evening are having a difficult time at the moment their problems arise out of their failure to join the monetary system rather than the failure of european policies,em termos orcamentais e de assinalar que embora os agricultores do reino unido esta questao foi levantada ontem a tarde estejam neste momento a atravessar um periodo dificil os seus problemas decorrem da sua nao adesao ao sistema monetario e nao do fracasso das politicas europeias,por isso mesmo que se trata de um dos nossos esforcos para que o conselho se refere a sua posicao de que a situacao de um pais que se refere a sua posicao de que a situacao nao se pode ser feito em relacao a
even if the fisheries council is about to meet parliament would be doing itself no favours in relation to the council position if we were to vote tomorrow,nao seria bom para o parlamento ate perante a posicao do conselho mesmo que o conselho das pescas tenha uma reuniao agendada que ela fosse votada amanha,no parlamento europeu nao se refere a comissao dos assuntos juridicos e a comissao nao se trata de um acordo que nao se encontra em vigor
there is no doubt as to who will gain the upper hand militarily and technologically the invaders,nao ha duvida quanto ao vencedor seja a nivel militar seja a nivel tecnologico os invasores,nao e verdade que o que e o que e o que e o que e o que e o que e o seu papel
this also includes the situation of aung san suu kyi who is in prison,nesta situacao encontrase tambem aung san suu kyi que esta presa,isto e o que e o seu papel em que a uniao europeia
and finally we must combat child pornography in other words the trivialization of the sexual exploitation of children,finalmente devemos lutar contra a pornografia infantil isto e a banalizacao da exploracao sexual das criancas,por isso e que a europa se pode ser a sua propria forma como a europa e a sua vida profissional
so we do not agree with amendments nos and,por esse motivo nao concordamos com as alteracoes e,nao podemos deixar de que o parlamento nao se trata de uma questao
two major countries have blatantly departed from compliance with the stability pacts rules,dois dos maiores paises da uniao esquivaramse descaradamente a cumprir as regras do pacto de estabilidade,as pessoas que se encontram em causa a nivel europeu e a uniao europeia
